Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
       42    39.64 KB     1008 B   java.util.regex.Pattern$Ctype
        4    39.55 KB      192 B   org.jboss.protean.arc.InstanceHandleImpl
        1    39.33 KB       24 B   org.jboss.shamrock.beanvalidation.runtime.ValidatorProvider
        1    39.30 KB       96 B   org.hibernate.validator.internal.engine.ValidatorFactoryImpl
       59    38.01 KB     2.30 KB  com.sun.org.apache.xerces.internal.util.SymbolHash
        1    37.50 KB     2.67 KB  sun.misc.FDBigInteger[]
       56    37.40 KB     2.41 KB  java.util.regex.Pattern$Node[]
        8    37.38 KB      256 B   org.jboss.resteasy.core.registry.RootNode
       59    35.70 KB     3.12 KB  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry[]
      341    34.88 KB    10.66 KB  sun.misc.FDBigInteger
       63    33.64 KB     1.97 KB  java.util.regex.Pattern$BitClass
      138    33.52 KB     4.31 KB  java.util.regex.Pattern$1
      335    33.52 KB    10.47 KB  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
       99    33.48 KB    27.07 KB  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
        7    33.37 KB      504 B   java.util.Hashtable
        4    33.09 KB      160 B   java.io.OutputStreamWriter
        4    32.94 KB      256 B   sun.nio.cs.StreamEncoder
        5    32.35 KB      280 B   java.nio.HeapByteBuffer
      153    32.27 KB     8.37 KB  sun.util.locale.BaseLocale$Key
       20    32.23 KB     2.50 KB  org.jboss.resteasy.core.ResourceMethodInvoker
        1    32.05 KB      144 B   sun.security.provider.Sun
       80    31.77 KB     3.13 KB  java.util.regex.Pattern$Curly
       14    30.48 KB      784 B   org.jboss.resteasy.core.MediaTypeMap$SubtypeMap
       77    29.98 KB     1.80 KB  java.util.regex.Pattern$Single
      286    29.71 KB    24.58 KB  java.util.TreeMap
       40    28.63 KB     4.06 KB  org.jboss.resteasy.spi.metadata.DefaultResourceMethod
       20    27.93 KB      480 B   java.util.regex.Pattern$Begin
      374    26.70 KB    12.66 KB  java.lang.reflect.TypeVariable[]
      910    26.43 KB    26.43 KB  java.lang.Class[]
      118    26.30 KB     2.96 KB  java.lang.reflect.Constructor[]
      189    25.69 KB    13.29 KB  ch.qos.logback.classic.Logger
        1    25.28 KB       48 B   sun.util.resources.CurrencyNames
      108    25.24 KB     4.22 KB  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
       91    24.98 KB    11.38 KB  java.util.logging.Logger
        3    24.81 KB      840 B   com.sun.org.apache.xerces.internal.impl.xs.SchemaGrammar$BuiltinSchemaGrammar
      614    24.68 KB    23.98 KB  java.lang.ref.SoftReference
       56    24.21 KB     1.31 KB  java.util.regex.Pattern$BranchConn
        1    24.03 KB       32 B   io.smallrye.openapi.api.OpenApiDocument
       91    24.03 KB     2.13 KB  sun.reflect.generics.reflectiveObjects.GenericArrayTypeImpl
        1    24.00 KB       88 B   io.smallrye.openapi.api.models.OpenAPIImpl
        1    24.00 KB       40 B   com.sun.org.apache.xml.internal.serializer.Encodings$EncodingInfos
      462    22.73 KB    14.44 KB  org.jboss.resteasy.core.MediaTypeMap$Entry
      870    22.34 KB    16.09 KB  java.lang.annotation.Annotation[][]
       15    22.32 KB      960 B   javax.validation.constraints.Pattern$$ProxyImpl
       12    21.69 KB      960 B   java.util.Properties
      349    21.62 KB     8.18 KB  java.util.concurrent.locks.ReentrantLock
       20    21.49 KB     1.41 KB  org.jboss.resteasy.core.registry.MethodExpression
        7    21.24 KB      392 B   org.jboss.resteasy.plugins.server.resourcefactory.POJOResourceFactory
        1    20.91 KB       48 B   org.hibernate.validator.internal.metadata.core.ConstraintHelper
      333    20.88 KB    10.41 KB  sun.reflect.generics.factory.CoreReflectionFactory
      100    20.63 KB    20.63 KB  boolean[]
       30    20.62 KB      960 B   org.jboss.resteasy.core.registry.SegmentNode
        1    20.36 KB       40 B   sun.net.idn.StringPrep
       21    20.20 KB      672 B   java.util.regex.Pattern$Ques
        1    20.17 KB       32 B   sun.net.www.MimeTable
        1    19.74 KB      104 B   io.smallrye.openapi.api.models.PathsImpl
       44    19.34 KB     4.81 KB  java.lang.reflect.Field
