Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
        7      224 B       224 B   javax.validation.constraints.Pattern$Flag
        7      224 B       224 B   com.fasterxml.jackson.jaxrs.util.ClassKey
        4      224 B       224 B   org.hsqldb.ColumnBase
        3      224 B       152 B   java.lang.Runnable[]
        4      224 B       128 B   org.jboss.protean.arc.ArcContainerImpl$Resolvable
        7      224 B       224 B   com.sun.xml.internal.bind.v2.model.impl.ClassInfoImpl$PropertyGroup
        1      216 B        32 B   com.fasterxml.jackson.databind.deser.DeserializerCache
        2      216 B        56 B   com.sun.org.apache.xerces.internal.impl.xs.XSParticleDecl[]
        9      216 B       216 B   com.fasterxml.jackson.databind.node.JsonNodeType
        1      216 B        24 B   io.undertow.servlet.util.ConstructorInstanceFactory
        9      216 B       216 B   java.nio.file.attribute.PosixFilePermission
        2      216 B       128 B   sun.nio.fs.UnixPath
        9      216 B       216 B   com.sun.xml.bind.v2.runtime.unmarshaller.Messages
        1      216 B        56 B   com.fasterxml.jackson.annotation.JsonTypeInfo$Id[]
        3      216 B       216 B   com.fasterxml.jackson.databind.PropertyMetadata
        9      216 B       216 B   com.sun.xml.internal.bind.v2.runtime.unmarshaller.Messages
        2      216 B        48 B   java.lang.StringBuilder
        9      216 B       216 B   org.hibernate.validator.internal.engine.valueextraction.ArrayElement
        1      208 B        24 B   org.hibernate.validator.internal.engine.groups.ValidationOrder$DefaultSequenceValidationOrder
        2      208 B       208 B   javax.validation.constraints.Pattern[]
        2      208 B       208 B   jdk.vm.ci.meta.JavaKind[]
        2      208 B       208 B   java.io.ExpiringCache$1
        1      208 B        72 B   com.sun.org.apache.xerces.internal.util.URI
        1      208 B        88 B   sun.util.logging.PlatformLogger$Level[]
        5      200 B       200 B   org.yaml.snakeyaml.DumperOptions$ScalarStyle
        5      200 B       200 B   com.fasterxml.jackson.annotation.JsonTypeInfo$Id
        1      200 B        48 B   org.hibernate.validator.internal.engine.constraintvalidation.ConstraintValidatorManager
        5      200 B       200 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State
        5      200 B       200 B   org.slf4j.event.Level
        5      200 B       200 B   com.fasterxml.jackson.core.JsonEncoding
        3      200 B       144 B   com.sun.org.apache.xerces.internal.xni.QName
        5      200 B       200 B   java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
        8      192 B       192 B   javax.validation.ElementKind
        1      192 B        24 B   org.jboss.protean.arc.SingletonContext
        1      192 B        72 B   javax.enterprise.inject.spi.InterceptionType[]
        2      192 B        64 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager
       12      192 B       192 B   com.fasterxml.jackson.databind.node.IntNode
        8      192 B       192 B   com\oracle\svm\reflect\proxies\Proxy_javax_annotation_Priority_value__
        1      192 B        96 B   com.sun.org.apache.xerces.internal.impl.xs.util.XInt[]
        6      192 B       192 B   com.sun.org.apache.xerces.internal.util.Status
        1      192 B        64 B   com.oracle.svm.core.thread.VMOperationControl
        1      184 B        40 B   io.undertow.servlet.core.ErrorPages
        1      184 B        40 B   com.sun.xml.internal.bind.v2.util.QNameMap
        1      184 B        24 B   com.fasterxml.jackson.databind.deser.BeanDeserializerFactory
        1      184 B        64 B   org.eclipse.microprofile.openapi.models.media.Schema$SchemaType[]
        1      184 B        40 B   com.sun.xml.bind.v2.util.QNameMap
        1      184 B        40 B   sun.text.resources.CollationData
        1      184 B        64 B   io.agroal.api.configuration.AgroalConnectionFactoryConfiguration$TransactionIsolation[]
        1      176 B        24 B   com.oracle.svm.core.option.RuntimeOptionValues
        1      176 B        24 B   com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector
        1      176 B        24 B   com.fasterxml.jackson.databind.util.RootNameLookup
        1      176 B        32 B   io.undertow.servlet.spec.SessionCookieConfigImpl
        1      176 B        24 B   com.fasterxml.jackson.databind.introspect.BasicClassIntrospector
        1      176 B        24 B   io.smallrye.metrics.interceptors.MetricsBinding$$ProxyImpl
        1      176 B        48 B   com.arjuna.ats.internal.arjuna.objectstore.ShadowNoFileLockStore
        2      176 B        64 B   jdk.xml.internal.JdkXmlFeatures
        1      176 B        32 B   org.jboss.resteasy.core.AcceptHeaderByFileSuffixFilter
        2      176 B        96 B   java.util.Collections$SynchronizedRandomAccessList
       11      176 B       176 B   com.sun.org.apache.xerces.internal.impl.xs.util.XInt
        7      168 B       168 B   org.postgresql.core.SqlCommandType
        1      168 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$13
        1      168 B        72 B   java.util.concurrent.TimeUnit[]
        7      168 B       168 B   java.time.DayOfWeek
        1      168 B        48 B   org.eclipse.microprofile.openapi.models.parameters.Parameter$In[]
        7      168 B       168 B   com.fasterxml.jackson.annotation.JsonFormat$Feature
        3      168 B       168 B   sun.net.spi.DefaultProxySelector$NonProxyInfo
        7      168 B       168 B   io.undertow.servlet.handlers.ServletHandler
        5      168 B       120 B   io.undertow.UndertowLogger_$logger
        7      168 B       168 B   io.undertow.servlet.core.ManagedServlet$DefaultInstanceStrategy$1
        7      168 B       168 B   javax.json.JsonValue$ValueType
        1      168 B        48 B   java.util.Collections$SynchronizedSortedSet
        7      168 B       168 B   javax.enterprise.inject.spi.InterceptionType
        1      168 B        72 B   com.fasterxml.jackson.annotation.JsonFormat$Feature[]
        7      168 B       168 B   com.fasterxml.jackson.annotation.JsonInclude$Include
        2      168 B        48 B   com.oracle.svm.core.heap.AllocationFreeList
        1      168 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$13
        7      168 B       168 B   io.undertow.server.handlers.form.FormEncodedDataDefinition
        5      160 B       160 B   com.oracle.svm.core.code.FrameInfoQueryResult$ValueType
        5      160 B       160 B   com.sun.xml.internal.bind.v2.model.core.PropertyKind
       10      160 B       160 B   java.util.Formatter$Flags
        1      160 B        24 B   javax.annotation.PostConstruct$$ProxyImpl
        4      160 B       160 B   org.postgresql.jdbc.PreferQueryMode
        2      160 B        64 B   io.undertow.servlet.core.ContextClassLoaderSetupAction$1
        4      160 B       160 B   io.undertow.util.FastConcurrentDirectDeque$Node
        1      160 B        24 B   javax.enterprise.inject.Intercepted$$ProxyImpl
        5      160 B       160 B   com.sun.xml.bind.v2.model.core.PropertyKind
        3      160 B        72 B   com.oracle.svm.reflect.proxy.DynamicProxySupport$ProxyCacheKey
        4      160 B       160 B   org.eclipse.microprofile.openapi.models.parameters.Parameter$In
        1      160 B        24 B   javax.enterprise.inject.Produces$$ProxyImpl
        1      160 B        56 B   com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig
        1      160 B        32 B   io.undertow.servlet.handlers.security.ServletConfidentialityConstraintHandler
        1      160 B        24 B   javax.ws.rs.POST$$ProxyImpl
        1      160 B        24 B   org.eclipse.microprofile.rest.client.inject.RestClient$$ProxyImpl
        1      152 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$15
        1      152 B        24 B   com.fasterxml.classmate.TypeResolver
        1      152 B        56 B   javax.net.ssl.SSLEngineResult$HandshakeStatus[]
        2      152 B        80 B   com.fasterxml.jackson.databind.deser.std.NumberDeserializers$DoubleDeserializer
        1      152 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$17
        1      152 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$18
        1      152 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$17
        1      152 B        40 B   org.hibernate.validator.internal.engine.groups.Sequence
        1      152 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$15
        1      152 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$19
        1      152 B        56 B   io.reactivex.BackpressureStrategy[]
        1      152 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$18
        1      152 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$19
        6      144 B       144 B   com.fasterxml.jackson.core.JsonParser$NumberType
        6      144 B       144 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_Pattern_regexp__
        6      144 B       144 B   java.lang.Thread$State
        1      144 B        32 B   java.awt.EventQueue
        6      144 B       144 B   com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility
        1      144 B        72 B   com.fasterxml.jackson.annotation.JsonInclude$Include[]
        6      144 B       144 B   javax.ws.rs.core.Response$Status$Family
        6      144 B       144 B   org.jboss.logging.Logger$Level
        6      144 B       144 B   javax.validation.executable.ExecutableType
        3      144 B       120 B   com.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State[]
        1      144 B       120 B   com.fasterxml.jackson.core.util.InternCache
        3      144 B       120 B   com.fasterxml.jackson.databind.PropertyName
        6      144 B       144 B   com.fasterxml.jackson.databind.ser.std.ToStringSerializer
        2      144 B       144 B   org.postgresql.core.Parser$SqlParseState[]
        6      144 B       144 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_Pattern_message__
        6      144 B       144 B   sun.net.www.protocol.http.AuthScheme
        1      144 B        48 B   org.graalvm.compiler.core.CompilationWrapper$ExceptionAction[]
        1      144 B        72 B   io.smallrye.openapi.api.models.info.InfoImpl
        3      144 B       144 B   com.fasterxml.jackson.core.io.SerializedString
        2      144 B       144 B   java.time.DayOfWeek[]
        1      144 B        32 B   com.oracle.svm.core.jdk.StringInternSupport
        1      144 B        24 B   ch.qos.logback.core.spi.FilterAttachableImpl
        6      144 B       144 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_Pattern_groups__
        3      144 B       144 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap
        6      144 B       144 B   io.agroal.api.configuration.AgroalConnectionFactoryConfiguration$TransactionIsolation
        2      144 B        80 B   org.yaml.snakeyaml.DumperOptions$Version
        3      144 B       144 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$NameMap
        6      144 B       144 B   org.apache.http.impl.auth.NTLMScheme$State
        1      144 B        40 B   java.util.Collections$SynchronizedSet
        1      144 B        88 B   com.arjuna.ats.arjuna.coordinator.TxStats
        6      144 B       144 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_Pattern_flags__
        6      144 B       144 B   java.util.regex.Pattern$CharPropertyNames$2
        1      144 B        32 B   org.slf4j.helpers.SubstituteLoggerFactory
        1      144 B       144 B   com.sun.xml.bind.v2.util.QNameMap$Entry[]
        6      144 B       144 B   io.agroal.pool.ConnectionHandler$State
        6      144 B       144 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_Pattern_payload__
        1      144 B       144 B   com.sun.xml.internal.bind.v2.util.QNameMap$Entry[]
        9      144 B       144 B   java.lang.Float
        1      144 B       144 B   java.util.concurrent.RunnableScheduledFuture[]
        2      144 B        64 B   io.undertow.util.FastConcurrentDirectDeque
        5      136 B       120 B   com.sun.org.apache.xerces.internal.impl.dv.dtd.ListDatatypeValidator
        1      136 B        24 B   org.hibernate.validator.internal.metadata.core.ConstraintHelper$ValidatorDescriptorMap
        1      136 B        64 B   com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility[]
        1      136 B        40 B   com.fasterxml.jackson.databind.ser.SerializerCache
        1      136 B        64 B   org.eclipse.microprofile.metrics.Metadata
        2      128 B       128 B   com.sun.xml.internal.bind.v2.model.impl.ClassInfoImpl$SecondaryAnnotation[]
        1      128 B        32 B   com.fasterxml.classmate.util.ResolvedTypeCache
        2      128 B       128 B   javax.validation.executable.ExecutableType[]
        1      128 B        56 B   org.hibernate.validator.internal.engine.ValidationContext$ValidationOperation[]
        4      128 B       128 B   com.sun.org.apache.xerces.internal.impl.xs.XSGroupDecl[]
        8      128 B       128 B   java.util.regex.Pattern$CharPropertyNames$3
        1      128 B        48 B   org.graalvm.collections.EconomicMapImpl
        4      128 B       128 B   com.oracle.svm.core.thread.VMOperationControl$Worklist
        2      128 B       128 B   java.lang.OutOfMemoryError
        2      128 B        80 B   org.hsqldb.types.BinaryData
        2      128 B       128 B   jdk.xml.internal.JdkXmlFeatures$XmlFeature
        1      128 B        64 B   com.sun.org.apache.xerces.internal.util.Status[]
        1      128 B        56 B   io.agroal.pool.ConnectionHandler$DirtyAttribute[]
        4      128 B       128 B   org.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2Attributes
        4      128 B       128 B   java.util.Locale
        2      128 B       128 B   com.sun.xml.bind.v2.model.impl.ClassInfoImpl$SecondaryAnnotation[]
        1      128 B        40 B   java.util.concurrent.Executors$DefaultThreadFactory
        2      128 B        80 B   org.jboss.resteasy.util.Types$ResteasyParameterizedType
        2      128 B        64 B   java.util.concurrent.ConcurrentLinkedQueue
        4      128 B       128 B   com.oracle.svm.core.thread.VMOperationControl$SynchronizedAllocationFreeStack
        4      128 B       128 B   sun.reflect.generics.scope.ConstructorScope
        2      128 B        80 B   com.fasterxml.jackson.databind.deser.std.NumberDeserializers$FloatDeserializer
        5      120 B       120 B   com.fasterxml.jackson.annotation.JsonTypeInfo$As
        1      120 B        40 B   io.undertow.servlet.core.SessionListenerBridge
        1      120 B        40 B   com.oracle.svm.core.genscavenge.HeapChunkProvider
        1      120 B        56 B   java.security.AccessControlContext
        1      120 B        32 B   java.util.TreeSet
        5      120 B       120 B   javax.servlet.http.MappingMatch
        1      120 B        80 B   com.arjuna.ats.arjuna.common.CoordinatorEnvironmentBean
        3      120 B       120 B   org.eclipse.microprofile.metrics.MetricRegistry$Type
        5      120 B       120 B   org.apache.http.auth.AuthProtocolState
        5      120 B       120 B   com\oracle\svm\reflect\proxies\Proxy_javax_ws_rs_ConstrainedTo_value__
        5      120 B       120 B   org.hibernate.validator.internal.engine.ValidationContext$ValidationOperation
        1      120 B        96 B   com.fasterxml.jackson.annotation.JsonFormat$Shape[]
        5      120 B       120 B   io.agroal.pool.ConnectionHandler$DirtyAttribute
        1      120 B       120 B   com.fasterxml.jackson.databind.SerializationConfig
        3      120 B       120 B   io.undertow.servlet.api.ServletStackTraces
        5      120 B       120 B   ch.qos.logback.classic.Level
        5      120 B       120 B   java.util.Collections$SingletonSet
        1      120 B        56 B   org.postgresql.core.v3.SimpleParameterList
        5      120 B       120 B   io.reactivex.BackpressureStrategy
        3      120 B       120 B   org.yaml.snakeyaml.DumperOptions$LineBreak
        3      120 B        72 B   org.xnio._private.Messages_$logger
        1      120 B        48 B   org.jboss.resteasy.client.jaxrs.engines.ApacheHttpClient4Engine$MemoryUnit[]
        5      120 B       120 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$State
        5      120 B       120 B   org.hibernate.validator.internal.metadata.raw.ConstrainedElement$ConstrainedElementKind
        1      120 B       120 B   com.fasterxml.jackson.databind.DeserializationConfig
        5      120 B       120 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State
        5      120 B       120 B   javax.net.ssl.SSLEngineResult$HandshakeStatus
        3      120 B       120 B   org.yaml.snakeyaml.DumperOptions$FlowStyle
        1      120 B        40 B   org.yaml.snakeyaml.DumperOptions$LineBreak[]
        1      120 B        48 B   org.yaml.snakeyaml.nodes.NodeId[]
        5      120 B       120 B   sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
        5      120 B       120 B   com.fasterxml.jackson.annotation.Nulls
        5      120 B       120 B   javax.servlet.DispatcherType
        5      120 B       120 B   com.fasterxml.jackson.core.type.WritableTypeId$Inclusion
        3      120 B        72 B   org.jboss.resteasy.util.ThreadLocalStack
        5      120 B       120 B   jdk.xml.internal.JdkXmlFeatures$State
        3      120 B       120 B   jdk.xml.internal.JdkXmlFeatures$State[]
        5      120 B       120 B   com.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State
        1      120 B        56 B   com.oracle.svm.core.posix.thread.PosixJavaThreads
        1      120 B        48 B   java.time.format.DateTimeFormatterBuilder$SettingsParser[]
        1      120 B        24 B   org.xnio.IoUtils$3
        2      120 B        48 B   java.sql.DriverInfo
        1      112 B       112 B   org.glassfish.json.JsonTokenizer$JsonToken[]
        1      112 B        48 B   java.awt.Queue[]
        2      112 B        80 B   com.sun.org.apache.xerces.internal.impl.xs.XSWildcardDecl
        1      112 B        32 B   ch.qos.logback.core.joran.spi.ConsoleTarget[]
        1      112 B        32 B   ch.qos.logback.classic.spi.TurboFilterList
        1      112 B        40 B   java.time.format.DateTimeFormatter
        2      112 B       112 B   org.hibernate.validator.internal.metadata.raw.ConstrainedElement$ConstrainedElementKind[]
        1      112 B        48 B   java.awt.color.ICC_ColorSpace
        2      112 B       112 B   com.oracle.svm.core.code.FrameInfoQueryResult$ValueType[]
        1      112 B        40 B   ch.qos.logback.classic.spi.LoggerContextVO
        1      112 B        24 B   io.undertow.server.session.SecureRandomSessionIdGenerator
        1      112 B        32 B   io.undertow.server.handlers.resource.ClassPathResourceManager
        1      112 B        40 B   java.nio.file.AccessMode[]
        2      112 B       112 B   com.fasterxml.jackson.jaxrs.json.JsonMapperConfigurator
        1      112 B        32 B   com.fasterxml.jackson.core.util.DefaultIndenter
        1      112 B        88 B   com.fasterxml.jackson.databind.node.JsonNodeType[]
        1      112 B        64 B   com.fasterxml.jackson.core.util.DefaultPrettyPrinter
        2      112 B       112 B   javax.servlet.DispatcherType[]
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$20
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$26
        1      104 B        56 B   sun.util.locale.provider.LocaleProviderAdapter$Type[]
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$14
        1      104 B       104 B   com.sun.org.apache.xerces.internal.impl.xs.SchemaGrammar$XSAnyType
        1      104 B       104 B   org.postgresql.shaded.com.ongres.scram.common.message.ServerFinalMessage$Error[]
        1      104 B        56 B   com.oracle.svm.core.option.XOptions
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$8
        1      104 B        32 B   java.util.Collections$3
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$11
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$16
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$26
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$7
        1      104 B        72 B   org.apache.http.impl.conn.ManagedHttpClientConnectionFactory
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$21
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$UUIDImpl
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$12
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$24
        1      104 B        32 B   sun.net.www.protocol.http.AuthCacheImpl
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$2
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$6
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$21
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$6
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$7
        1      104 B        32 B   com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$14
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$24
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$16
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$9
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$12
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$UUIDImpl
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$23
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$2
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$20
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$10
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$10
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$23
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$8
        1      104 B        40 B   com.sun.xml.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$11
        1      104 B        88 B   com.oracle.svm.core.genscavenge.HeapImpl
        1      104 B        40 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeBuiltinLeafInfoImpl$9
        4       96 B        96 B   java.text.Normalizer$Form
        4       96 B        96 B   com.fasterxml.jackson.annotation.JsonProperty$Access
        2       96 B        48 B   io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1
        1       96 B        48 B   com.fasterxml.jackson.annotation.JsonCreator$Mode[]
        4       96 B        96 B   com.oracle.svm.core.hub.ClassInitializationInfo$InitState
        4       96 B        96 B   sun.misc.FormattedFloatingDecimal$Form
        2       96 B        96 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager$Property
        3       96 B        96 B   org.hibernate.validator.resourceloading.PlatformResourceBundleLocator
        1       96 B        48 B   com.fasterxml.jackson.annotation.JsonProperty$Access[]
        2       96 B        96 B   com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraintvalidation_SupportedValidationTarget_value__
        1       96 B        96 B   com.fasterxml.classmate.util.ResolvedTypeCache$CacheMap
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_java_util_EnumMap_keyType
        4       96 B        96 B   com.oracle.svm.core.heap.NativeImageInfo$NativeImageHeapRegion
        2       96 B        96 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property
        1       96 B        96 B   com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType[]
        4       96 B        96 B   javax.xml.bind.annotation.XmlAccessType
        3       96 B        96 B   com.sun.org.apache.xerces.internal.util.PropertyState
        1       96 B        24 B   com.fasterxml.jackson.databind.ser.BeanSerializerFactory
        4       96 B        96 B   com.sun.xml.bind.v2.runtime.reflect.Messages
        4       96 B        96 B   javax.net.ssl.SSLEngineResult$Status
        4       96 B        96 B   org.yaml.snakeyaml.nodes.NodeId
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_java_util_TimeZone_defaultTimeZone
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_sun_net_www_protocol_http_HttpURLConnection_http
        3       96 B        96 B   org.jboss.protean.arc.AbstractSharedContext$Key
        1       96 B        56 B   org.slf4j.event.Level[]
        4       96 B        96 B   org.postgresql.hostchooser.HostStatus
        4       96 B        96 B   com.sun.org.apache.xerces.internal.impl.xpath.regex.Token$CharToken
        1       96 B        48 B   io.undertow.servlet.api.TransportGuaranteeType[]
        4       96 B        96 B   org.graalvm.compiler.core.CompilationWrapper$ExceptionAction
        4       96 B        96 B   io.undertow.util.ETagUtils$SearchingFor
        4       96 B        96 B   org.postgresql.jdbc.StatementCancelState
        4       96 B        96 B   org.graalvm.word.UnsignedWord[]
        1       96 B        96 B   javax.json.stream.JsonParser$Event[]
        4       96 B        96 B   com.fasterxml.classmate.AnnotationInclusion
        4       96 B        96 B   org.jboss.resteasy.client.jaxrs.engines.ApacheHttpClient4Engine$MemoryUnit
        1       96 B        96 B   com.oracle.svm.core.genscavenge.GCImpl$CollectionVMOperation
        4       96 B        96 B   sun.net.ProgressSource$State
        2       96 B        96 B   com.oracle.svm.core.genscavenge.GreyObjectsWalker
        3       96 B        96 B   org.apache.http.HttpVersion
        1       96 B        96 B   com.oracle.svm.core.code.FrameInfoQueryResult
        4       96 B        96 B   io.undertow.server.protocol.ajp.AjpRequestParser$StringType
        3       96 B        96 B   org.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2CbindFlag
        3       96 B        96 B   org.hibernate.validator.internal.metadata.raw.ConfigurationSource
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_NotNull_payload__
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_org_eclipse_microprofile_metrics_annotation_RegistryType_type__
        4       96 B        96 B   io.undertow.servlet.api.TransportGuaranteeType
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_sun_net_NetworkClient_serverSocket
        4       96 B        96 B   java.time.format.DateTimeFormatterBuilder$SettingsParser
        3       96 B        96 B   com.sun.org.apache.xerces.internal.impl.xs.identity.IdentityConstraint[]
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_NotNull_message__
        4       96 B        96 B   org.apache.http.impl.auth.GGSSchemeBase$State
        4       96 B        96 B   io.undertow.security.impl.SecurityContextImpl$AuthenticationState
        3       96 B        72 B   org.jboss.protean.arc.ComputingCache$CacheFunction
        4       96 B        96 B   org.glassfish.json.JsonGeneratorImpl$Scope
        4       96 B        96 B   com.oracle.svm.core.hub.ClassInitializationInfo$ClassInitializerFunctionPointerHolder
        4       96 B        96 B   java.util.Optional
        4       96 B        96 B   com.sun.xml.internal.bind.v2.runtime.reflect.Messages
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_java_util_EnumSet_elementType
        4       96 B        96 B   com.fasterxml.jackson.annotation.JsonCreator$Mode
        1       96 B        96 B   org.yaml.snakeyaml.events.Event$ID[]
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_javax_validation_constraints_NotNull_groups__
        4       96 B        96 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_transaction_TransactionResource_tryTxn__
        3       96 B        96 B   java.lang.ClassLoader
        1       88 B        72 B   io.undertow.servlet.core.ApplicationListeners
        1       88 B        40 B   sun.security.provider.NativePRNG$Variant[]
        1       88 B        40 B   java.awt.color.ICC_ProfileRGB
        1       88 B        88 B   org.postgresql.shaded.com.ongres.scram.common.ScramAttributes[]
        1       88 B        88 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$Limit[]
        1       88 B        88 B   com.sun.xml.bind.v2.runtime.unmarshaller.Messages[]
        1       88 B        40 B   java.lang.annotation.RetentionPolicy[]
        1       88 B        24 B   io.undertow.protocols.alpn.ALPNManager
        1       88 B        88 B   com.fasterxml.jackson.databind.util.StdDateFormat
        1       88 B        88 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit[]
        1       88 B        40 B   io.undertow.security.api.AuthenticationMechanism$AuthenticationMechanismOutcome[]
        1       88 B        40 B   sun.awt.AppContext$State[]
        1       88 B        40 B   org.jboss.resteasy.client.jaxrs.ResteasyClientBuilder$HostnameVerificationPolicy[]
        1       88 B        24 B   io.undertow.util.ImmediatePooledByteBuffer
        1       88 B        88 B   com.sun.org.apache.xerces.internal.impl.dv.XSSimpleType[]
